pop,year,cohort,elevation_m,tray,timeemer,emerged
HE,1,GA,3095,12,22,0
HE,1,GA,3095,1,22,0
HE,1,GA,3095,7,3,1
HE,1,GA,3095,10,3,1
HE,2,O,3095,12,3,1
HE,1,GA,3095,14,3,1
HE,2,GA,3095,3,2,1
HE,1,O,3095,5,2,1
HE,1,O,3095,5,2,1
HE,2,GA,3095,6,2,1
HE,1,GA,3095,6,2,1
HE,2,O,3095,7,2,1
HE,2,V,3095,7,2,1
HE,2,GA,3095,8,2,1
HE,1,GA,3095,9,2,1
HE,2,GA,3095,9,2,1
HE,1,GA,3095,11,2,1
HE,1,GA,3095,13,2,1
HE,2,GA,3095,13,2,1
HE,2,GA,3095,14,2,1
HE,2,O,3095,14,2,1
HE,2,O,3095,15,2,1
HE,2,GA,3095,15,2,1
HE,2,O,3095,2,2,1
ME,1,O,3049,7,9,1
ME,2,V,3049,1,3,1
ME,1,O,3049,3,3,1
ME,1,O,3049,3,3,1
ME,1,V,3049,5,3,1
ME,1,O,3049,7,3,1
ME,1,O,3049,8,3,1
ME,1,GA,3049,9,3,1
ME,1,O,3049,10,3,1
ME,1,O,3049,10,3,1
ME,1,O,3049,12,3,1
ME,1,O,3049,12,3,1
ME,1,O,3049,13,3,1
ME,1,O,3049,13,3,1
ME,1,O,3049,2,3,1
ME,1,O,3049,2,3,1
ME,2,GA,3049,1,2,1
ME,1,GA,3049,4,2,1
ME,1,O,3049,4,2,1
ME,2,V,3049,4,2,1
ME,1,GA,3049,6,2,1
ME,1,V,3049,6,2,1
ME,2,O,3049,7,2,1
ME,2,GA,3049,8,2,1
ME,1,V,3049,9,2,1
ME,2,O,3049,9,2,1
ME,2,GA,3049,10,2,1
ME,2,GA,3049,11,2,1
ME,1,O,3049,11,2,1
ME,2,GA,3049,12,2,1
ME,2,GA,3049,14,2,1
ME,1,GA,3049,15,2,1
ME,2,GA,3049,2,2,1
ML,1,O,2774,11,22,0
ML,1,GA,2774,1,6,1
ML,1,V,2774,1,6,1
ML,1,GA,2774,7,3,1
ML,2,O,2774,15,3,1
ML,1,GA,2774,15,3,1
ML,2,GA,2774,3,2,1
ML,2,GA,2774,4,2,1
ML,1,O,2774,6,2,1
ML,2,GA,2774,6,2,1
ML,2,O,2774,7,2,1
ML,2,GA,2774,8,2,1
ML,1,GA,2774,8,2,1
ML,2,O,2774,9,2,1
ML,1,GA,2774,11,2,1
ML,2,GA,2774,11,2,1
ML,1,GA,2774,12,2,1
ML,1,GA,2774,12,2,1
ML,2,GA,2774,14,2,1
ML,1,V,2774,14,2,1
JM,2,O,2200,7,3,1
JM,2,O,2200,11,3,1
JM,2,O,2200,1,3,1
JM,2,O,2200,1,2,1
JM,2,O,2200,2,2,1
JM,2,GA,2200,2,2,1
JM,2,O,2200,3,2,1
JM,2,O,2200,4,2,1
JM,1,GA,2200,4,2,1
JM,2,O,2200,5,2,1
JM,2,O,2200,5,2,1
JM,2,O,2200,6,2,1
JM,2,O,2200,6,2,1
JM,1,GA,2200,7,2,1
JM,1,GA,2200,8,2,1
JM,1,O,2200,9,2,1
JM,2,O,2200,9,2,1
JM,2,O,2200,9,2,1
JM,2,O,2200,10,2,1
JM,1,V,2200,10,2,1
JM,2,O,2200,10,2,1
JM,1,GA,2200,11,2,1
JM,1,V,2200,12,2,1
JM,2,O,2200,12,2,1
JM,1,GA,2200,13,2,1
JM,2,O,2200,13,2,1
JM,1,GA,2200,14,2,1
JM,2,V,2200,14,2,1
JM,2,O,2200,14,2,1
JM,2,GA,2200,15,2,1
JM,2,O,2200,15,2,1
JM,1,GA,2200,15,2,1
HS,2,O,1400,3,22,0
HS,1,GA,1400,5,22,0
HS,2,O,1400,12,22,0
HS,2,GA,1400,7,4,1
HS,1,GA,1400,1,3,1
HS,2,O,1400,1,3,1
HS,2,O,1400,3,3,1
HS,2,O,1400,2,3,1
HS,2,O,1400,1,2,1
HS,2,O,1400,4,2,1
HS,2,O,1400,4,2,1
HS,2,O,1400,5,2,1
HS,2,O,1400,5,2,1
HS,2,O,1400,6,2,1
HS,1,O,1400,6,2,1
HS,2,O,1400,6,2,1
HS,1,GA,1400,7,2,1
HS,2,O,1400,7,2,1
HS,2,O,1400,8,2,1
HS,2,O,1400,8,2,1
HS,2,O,1400,9,2,1
HS,1,GA,1400,9,2,1
HS,1,GA,1400,9,2,1
HS,2,O,1400,9,2,1
HS,2,O,1400,10,2,1
HS,2,O,1400,10,2,1
HS,1,GA,1400,11,2,1
HS,2,O,1400,11,2,1
HS,2,V,1400,11,2,1
HS,2,O,1400,12,2,1
HS,2,O,1400,13,2,1
HS,1,GA,1400,13,2,1
HS,2,O,1400,13,2,1
HS,2,O,1400,14,2,1
HS,1,GA,1400,14,2,1
HS,1,GA,1400,14,2,1
HS,2,O,1400,14,2,1
HS,2,O,1400,15,2,1
HS,2,O,1400,15,2,1
HS,2,O,1400,2,2,1
MC,2,O,1280,1,22,0
MC,2,O,1280,3,22,0
MC,2,O,1280,4,22,0
MC,2,O,1280,8,22,0
MC,2,O,1280,10,22,0
MC,2,O,1280,12,22,0
MC,2,O,1280,15,22,0
MC,2,O,1280,6,22,0
MC,2,O,1280,2,4,1
MC,2,O,1280,1,3,1
MC,2,O,1280,2,3,1
MC,2,O,1280,3,3,1
MC,2,GA,1280,4,3,1
MC,1,GA,1280,5,3,1
MC,2,O,1280,5,3,1
MC,2,O,1280,5,3,1
MC,2,O,1280,7,3,1
MC,1,GA,1280,8,3,1
MC,2,O,1280,9,3,1
MC,2,O,1280,10,3,1
MC,2,O,1280,11,3,1
MC,2,O,1280,13,3,1
MC,2,O,1280,14,3,1
MC,1,O,1280,1,3,1
MC,1,O,1280,1,2,1
MC,2,O,1280,9,2,1
MC,2,O,1280,11,2,1
MC,1,O,1280,11,2,1
MC,1,O,1280,12,2,1
MC,1,O,1280,12,2,1
MC,1,O,1280,13,2,1
MC,2,O,1280,13,2,1
MC,1,O,1280,14,2,1
MC,2,O,1280,14,2,1
MC,1,O,1280,14,2,1
MC,1,V,1280,15,2,1
MC,1,O,1280,15,2,1
HH,2,O,1020,3,22,0
HH,2,O,1020,7,22,0
HH,2,O,1020,10,22,0
HH,2,O,1020,11,22,0
HH,1,GA,1020,12,22,0
HH,2,O,1020,4,22,0
HH,1,GA,1020,12,22,0
HH,1,O,1020,11,8,1
HH,1,GA,1020,2,5,1
HH,2,O,1020,1,4,1
HH,2,O,1020,1,3,1
HH,2,O,1020,3,3,1
HH,1,GA,1020,3,3,1
HH,1,O,1020,4,3,1
HH,2,O,1020,8,3,1
HH,1,O,1020,9,3,1
HH,1,O,1020,9,3,1
HH,1,GA,1020,10,3,1
HH,2,O,1020,12,3,1
HH,2,O,1020,14,3,1
HH,1,V,1020,2,2,1
HH,2,V,1020,2,2,1
HH,2,O,1020,2,2,1
HH,1,GA,1020,3,2,1
HH,1,O,1020,4,2,1
HH,2,O,1020,4,2,1
HH,1,GA,1020,5,2,1
HH,2,GA,1020,5,2,1
HH,1,O,1020,6,2,1
HH,2,GA,1020,6,2,1
HH,2,GA,1020,7,2,1
HH,2,O,1020,10,2,1
HH,1,GA,1020,10,2,1
HH,2,O,1020,11,2,1
HH,1,V,1020,11,2,1
HH,2,O,1020,12,2,1
HH,2,O,1020,13,2,1
HH,2,O,1020,13,2,1
HH,2,O,1020,14,2,1
HH,2,O,1020,15,2,1
HWY,1,O,1000,1,3,1
HWY,2,O,1000,1,3,1
HWY,1,O,1000,2,3,1
HWY,1,V,1000,4,3,1
HWY,1,GA,1000,4,3,1
HWY,1,O,1000,5,3,1
HWY,1,GA,1000,5,3,1
HWY,1,O,1000,6,3,1
HWY,1,O,1000,8,3,1
HWY,2,O,1000,10,3,1
HWY,2,GA,1000,12,3,1
HWY,2,O,1000,2,2,1
HWY,2,O,1000,3,2,1
HWY,2,GA,1000,5,2,1
HWY,2,O,1000,6,2,1
HWY,1,GA,1000,6,2,1
HWY,1,V,1000,7,2,1
HWY,2,O,1000,7,2,1
HWY,1,GA,1000,8,2,1
HWY,1,O,1000,9,2,1
HWY,1,O,1000,11,2,1
HWY,2,O,1000,11,2,1
HWY,2,GA,1000,12,2,1
HWY,2,GA,1000,13,2,1
HWY,2,GA,1000,13,2,1
HWY,1,O,1000,14,2,1
HWY,2,GA,1000,14,2,1
HWY,1,O,1000,15,2,1
HWY,1,GA,1000,15,2,1
HWY,2,O,1000,15,2,1
R,1,GA,947,13,22,0
R,1,GA,947,1,22,0
R,1,O,947,2,4,1
R,2,O,947,1,3,1
R,1,O,947,1,3,1
R,2,O,947,2,3,1
R,1,O,947,3,3,1
R,1,O,947,7,3,1
R,2,O,947,11,3,1
R,2,O,947,15,3,1
R,2,GA,947,1,2,1
R,1,O,947,2,2,1
R,2,O,947,2,2,1
R,2,O,947,3,2,1
R,1,O,947,3,2,1
R,2,O,947,3,2,1
R,2,O,947,4,2,1
R,1,GA,947,4,2,1
R,1,O,947,4,2,1
R,2,O,947,4,2,1
R,2,O,947,5,2,1
R,1,O,947,5,2,1
R,2,GA,947,5,2,1
R,1,GA,947,6,2,1
R,2,O,947,6,2,1
R,2,O,947,7,2,1
R,2,GA,947,7,2,1
R,1,O,947,8,2,1
R,2,O,947,8,2,1
R,1,O,947,8,2,1
R,2,O,947,8,2,1
R,2,O,947,9,2,1
R,2,O,947,10,2,1
R,1,O,947,10,2,1
R,2,GA,947,10,2,1
R,2,O,947,11,2,1
R,2,O,947,12,2,1
R,1,GA,947,12,2,1
R,2,O,947,12,2,1
R,1,O,947,12,2,1
R,2,O,947,13,2,1
R,2,O,947,13,2,1
R,1,GA,947,14,2,1
R,2,O,947,14,2,1
R,2,O,947,14,2,1
R,1,O,947,15,2,1
R,2,O,947,15,2,1
R,1,O,947,15,2,1
